Name::Name,19:50:13.9872107_T::Time!!I,Area::Area!!R,Channel_1_mScarlet.Intensity Mean Value::Channel_1_mScarlet.Intensity Mean Value!!R,Channel_2_GFP.Intensity Mean Value::Channel_2_GFP.Intensity Mean Value!!R
,,"µm²",,
"Spline Contour",1,31.49401223894,3148.9474522293,1245.4020700637
"Spline Contour",2,31.49401223894,3130.4434713376,1219.1162420382
"Spline Contour",3,31.49401223894,3069.4020700637,1181.6106687898
"Spline Contour",4,31.49401223894,3029.9824840764,1176.4856687898
"Spline Contour",5,31.49401223894,2593.2953821656,1047.2181528662
"Spline Contour",6,31.494012238939,3150,1247.6674679487
"Spline Contour",7,31.494012238939,3193.1770833333,1296.7355769231
"Spline Contour",8,31.494012238939,2855.391025641,1233.608974359
"Spline Contour",9,31.494012238939,2853.3373397436,1248.8485576923
"Spline Contour",10,31.494012238939,2564.4423076923,1164.358974359
"Spline Contour",11,31.494012238939,2505.6201923077,1123.5865384615
"Spline Contour",12,31.494012238939,3168.6025641026,1297.1450320513
"Spline Contour",13,31.494012238939,3311.0440705128,1293.608974359
"Spline Contour",14,31.494012238939,3336.1129807692,1260.766025641
"Spline Contour",15,31.494012238942,4061.4908073541,1333.5595523581
"Spline Contour",16,31.494012238942,4000.5851318945,1302.8097521982
"Spline Contour",17,31.494012238942,4213.2597921663,1294.2933653078
"Spline Contour",18,31.494012238942,4198.3709032774,1272.3485211831
"Spline Contour",19,31.494012238942,4177.8289368505,1242.3445243805
"Spline Contour",20,31.494012238942,4135.9184652278,1206.001598721
"Spline Contour",21,31.494012238942,4132.929656275,1190.8081534772
"Spline Contour",22,31.494012238936,4226.6166666667,1209.2333333333
"Spline Contour",23,31.494012238936,4169.2293650794,1173.3603174603
"Spline Contour",24,31.494012238936,4163.2253968254,1156.1444444444
"Spline Contour",25,31.494012238936,4147.1515873016,1143.2880952381
"Spline Contour",26,31.494012238936,4142.2579365079,1129.1976190476
"Spline Contour",27,31.494012238936,4132.4587301587,1122.6261904762
"Spline Contour",28,31.494012238936,4095.2388888889,1103.5404761905
"Spline Contour",29,31.494012238936,3991.3849206349,1061.4976190476
"Spline Contour",30,31.494012238941,4086.9992,1077.452
"Spline Contour",31,31.494012238941,3825.7608,1003.012
"Spline Contour",32,31.494012238941,3435.5528,896.9544
"Spline Contour",33,31.494012238939,3593.1121718377,932.53858392999
"Spline Contour",34,31.494012238939,3453.2935560859,905.21400159109
"Spline Contour",35,31.494012238936,3523.3749000799,923.6554756195
"Spline Contour",36,31.494012238936,3497.3261390887,908.94724220624
"Spline Contour",37,31.494012238936,3539.3581135092,945.83852917666
"Spline Contour",38,31.494012238936,3563.0807354117,963.42126298961
"Spline Contour",39,31.494012238937,3602.1780604134,977.62480127186
"Spline Contour",40,31.494012238937,3628.6685214626,970.98330683625
"Spline Contour",41,31.494012238936,3638.624198718,991.42387820513
"Spline Contour",42,31.494012238936,3654.0112179487,1019.0544871795
"Spline Contour",43,31.494012238936,3597.405448718,984.86137820513
"Spline Contour",44,31.494012238942,3629.0562700965,965.3729903537
"Spline Contour",45,31.494012238942,3527.8834405145,939.1463022508
"Spline Contour",46,31.494012238942,3595.8408360129,979.77491961415
"Spline Contour",47,31.494012238942,3623.8014469453,988.20819935691
"Spline Contour",48,31.494012238935,3647.1923688394,1009.4523052464
"Spline Contour",49,31.494012238935,3631.2321144674,1012.6430842607
"Spline Contour",50,31.494012238935,3555.3982511924,960.64626391097
"Spline Contour",51,31.494012238935,3328.146263911,891.39825119237
"Spline Contour",52,31.494012238937,3510.4195859873,935.06608280255
"Spline Contour",53,31.494012238937,3429.9394904459,914.02786624204
"Spline Contour",54,31.494012238936,3588.5546687949,956.01755786113
"Spline Contour",55,31.49401223894,3542.8494023904,944.07091633466
"Spline Contour",56,31.49401223894,3525.8071713147,937.43346613546
"Spline Contour",57,31.494012238939,3837.2708498809,1035.8022239873
"Spline Contour",58,31.49401223894,3792.9912767645,1068.1173671689
"Spline Contour",59,31.49401223894,3471.8799682035,973.64308426073
"Spline Contour",60,31.494012238936,3508.8685258964,1042.9824701195
"Spline Contour",61,31.494012238936,3615.3800796813,1091.2685258964
"Spline Contour",62,31.494012238936,3749.003187251,1139.5553784861
"Spline Contour",63,31.494012238946,3814.922954726,1104.0730738682
"Spline Contour",64,31.494012238946,3828.4773629865,1074.5742652899
"Spline Contour",65,31.494012238946,3819.6981731533,1076.6513105639
"Spline Contour",66,31.494012238939,3846.9824140688,1089.0231814548
"Spline Contour",67,31.494012238939,3920.6570743405,1089.4148681055
"Spline Contour",68,31.49401223894,3989.209807074,1114.4758842444
"Spline Contour",69,31.49401223894,4122.5329581994,1147.3400321543
"Spline Contour",70,31.49401223894,3904.1849479584,1092.6925540432
"Spline Contour",71,31.494012238941,3962.6862589357,1083.031771247
"Spline Contour",72,31.494012238941,3707.8268467037,1019.7084988086
"Spline Contour",73,31.494012238941,3857.8268467037,1068.9372517871
"Spline Contour",74,31.494012238939,3878.3674603175,1108.2142857143
"Spline Contour",75,31.494012238935,3859.950518755,1115.1516360734
"Spline Contour",76,31.494012238936,4084.4561403509,1175.6339712919
"Spline Contour",77,31.494012238936,4195.4274322169,1192.4625199362
"Spline Contour",78,31.494012238936,4114.509569378,1145.4370015949
"Spline Contour",79,31.494012238934,3742.2093576527,1028.3743061063
"Spline Contour",80,31.494012238934,3925.5644904459,1113.9243630573
"Spline Contour",81,31.494012238934,4001.2396496815,1161.7412420382
"Spline Contour",82,31.494012238935,3962.3987189752,1137.2017614091
"Spline Contour",83,31.49401223894,3891.0173913044,1127.1193675889
"Spline Contour",84,31.494012238942,3907.0973101266,1106.7784810127
"Spline Contour",85,31.494012238942,3819.4865506329,1048.1115506329
"Spline Contour",86,31.494012238936,3730.2488038278,999.85566188198
"Spline Contour",87,31.49401223894,3917.2418196329,1058.8786911413
"Spline Contour",88,31.49401223894,3935.9832402235,1098.1077414206
"Spline Contour",89,31.49401223894,3886.4900239425,1112.1963288109
"Spline Contour",90,31.494012238935,3894.016840417,1159.4306335205
"Spline Contour",91,31.494012238939,3923.4948535234,1201.8772763262
"Spline Contour",92,31.49401223894,4020.4432,1245.4624
"Spline Contour",93,31.49401223894,3786.4952,1126.8104
"Spline Contour",94,31.494012238938,4003.6730615508,1152.689048761
"Spline Contour",95,31.494012238938,4200.1614708233,1200.3940847322
"Spline Contour",96,31.494012238933,4305.5063391442,1251.9492868463
"Spline Contour",97,31.49401223894,4283.6142857143,1244.9880952381
"Spline Contour",98,31.49401223894,4224.5817460318,1253.2595238095
"Spline Contour",99,31.49401223894,4311.8063492064,1287.5468253968
"Spline Contour",100,31.49401223894,4281.4833333333,1278.5206349206
"Spline Contour",101,31.49401223894,4210.3865079365,1250.2349206349
"Spline Contour",102,31.49401223894,4246.0111111111,1251.9
"Spline Contour",103,31.49401223894,4073.2349206349,1186.8976190476
"Spline Contour",104,31.49401223894,4117.1747805267,1184.2418196329
"Spline Contour",105,31.49401223894,4088.5849960096,1152.8986432562
"Spline Contour",106,31.49401223894,4113.4700718276,1165.9289704709
"Spline Contour",107,31.49401223894,3987.275339186,1129.5474860335
"Spline Contour",108,31.49401223894,3964.0566640064,1132.1628092578
"Spline Contour",109,31.49401223894,3934.1987230647,1114.2250598563
"Spline Contour",110,31.49401223894,3866.9577015164,1082.8036711892
"Spline Contour",111,31.49401223894,3885.0191540303,1072.2170790104
"Spline Contour",112,31.49401223894,3849.2450119713,1048.1476456504
"Spline Contour",113,31.49401223894,3930.2857142857,1070.4501197127
"Spline Contour",114,31.49401223894,3852.1955307263,1033.7222665603
"Spline Contour",115,31.49401223894,3887.786113328,1032.2090981644
"Spline Contour",116,31.49401223894,3793.0518754988,1001.7916999202
"Spline Contour",117,31.494012238936,3821.6363636364,996.331738437
"Spline Contour",118,31.494012238936,3720.7049441786,959.1985645933
"Spline Contour",119,31.494012238936,3768.6291866029,956.86762360447
"Spline Contour",120,31.494012238936,3690.9960127592,930.79186602871
"Spline Contour",121,31.494012238936,3409.2695374801,842.61961722488
"Spline Contour",122,31.494012238936,3816.1996830428,930.50396196514
"Spline Contour",123,31.494012238936,3858.2567353407,935.31695721078
"Spline Contour",124,31.494012238936,3792.3066561014,909.66798732171
"Spline Contour",125,31.494012238934,3757.0399680256,911.71382893685
"Spline Contour",126,31.494012238934,3874.965627498,964.94644284572
"Spline Contour",127,31.494012238934,3724.1382893685,928.34132693845
"Spline Contour",128,31.494012238934,3627.0263788969,897.48441247002
"Spline Contour",129,31.494012238934,3278.9120703437,792.63229416467
"Spline Contour",130,31.494012238935,3424.0484896661,853.18759936407
"Spline Contour",131,31.494012238935,3372.0715421304,841.32829888712
"Spline Contour",132,31.494012238939,3497.0869912211,863.19393455706
"Spline Contour",133,31.49401223894,3482.5740592474,876.02882305845
"Spline Contour",134,31.49401223894,3491.806244996,889.49879903923
"Spline Contour",135,31.49401223894,3520.5564451561,918.34107285829
"Spline Contour",136,31.49401223894,3511.7574059247,908.98638911129
"Spline Contour",137,31.494012238937,3522.7224880383,885.70015948963
"Spline Contour",138,31.494012238941,3510.766798419,881.94940711462
"Spline Contour",139,31.494012238941,3489.5731225296,870.46086956522
"Spline Contour",140,31.494012238941,3513.3786561265,894.72964426878
"Spline Contour",141,31.494012238936,3554.5434956105,935.48443735036
"Spline Contour",142,31.494012238936,3560.6895450918,950.30327214685
"Spline Contour",143,31.494012238936,3489.2697525938,913.11811652035
"Spline Contour",144,31.494012238936,3411.2537909018,882.36233040702
"Spline Contour",145,31.494012238939,3511.9832402235,904.790103751
"Spline Contour",146,31.494012238939,3157.744612929,802.11412609737
"Spline Contour",147,31.494012238939,3368.2591706539,861.83891547049
"Spline Contour",148,31.494012238939,3297.5693779904,822.4720893142
"Spline Contour",149,31.49401223894,3458.0262321145,848.76629570747
"Spline Contour",150,31.49401223894,3388.6104928458,816.17488076312
"Spline Contour",151,31.49401223894,3383.5445151033,808.05007949126
"Spline Contour",152,31.494012238938,3360.8713029576,797.91766586731
"Spline Contour",153,31.494012238938,3291.964028777,781.55395683453
"Spline Contour",154,31.494012238938,3327.6179056755,790.76898481215
"Spline Contour",155,31.494012238938,3385.2342126299,811.94004796163
"Spline Contour",156,31.494012238936,3506.1496,861.3304
"Spline Contour",157,31.494012238936,3370.4832,821.984
"Spline Contour",158,31.494012238936,3523.8452950558,845.97288676236
"Spline Contour",159,31.494012238936,3463.701754386,810.4322169059
"Spline Contour",160,31.494012238939,3485.7621707901,811.6065442937
"Spline Contour",161,31.494012238939,3475.2130885874,815.75019952115
"Spline Contour",162,31.494012238939,3421.5083798883,797.65283320032
"Spline Contour",163,31.494012238939,3398.0399042299,784.46687948923
"Spline Contour",164,31.494012238939,3562.1237031125,821.06943335994
"Spline Contour",165,31.494012238935,3515.5238095238,816.3126984127
"Spline Contour",166,31.49401223894,3427.488,811.488
"Spline Contour",167,31.49401223894,3209.2504,773.5928
"Spline Contour",168,31.494012238934,3492.106518283,845.66375198728
"Spline Contour",169,31.494012238934,3404.1724960254,803.68362480127
"Spline Contour",170,31.494012238937,3520.4871794872,839.67788461539
"Spline Contour",171,31.494012238937,3579.421474359,846.67788461539
"Spline Contour",172,31.494012238933,3554.5931254996,835.33333333333
"Spline Contour",173,31.494012238933,3458.8705035971,806.59232613909
"Spline Contour",174,31.494012238935,3367.144,775.2104
"Spline Contour",175,31.494012238935,3318.1632,753.9632
"Spline Contour",176,31.49401223894,3447.8920634921,792.1873015873
"Spline Contour",177,31.49401223894,3610.6690476191,830.16111111111
"Spline Contour",178,31.494012238937,3488.3314873418,830.88765822785
"Spline Contour",179,31.494012238938,3549.0047505938,900.81947743468
"Spline Contour",180,31.494012238938,3625.4988123515,943.32145684877
"Spline Contour",181,31.494012238938,3575.3768804434,946.13064133017
"Spline Contour",182,31.494012238936,3564.0867143994,944.16229116945
"Spline Contour",183,31.494012238936,3525.2696897375,959.50994431185
"Spline Contour",184,31.494012238939,3691.0806065443,1004.6624102155
"Spline Contour",185,31.494012238939,3794.6153232243,990.5522745411
"Spline Contour",186,31.494012238939,3722.7374301676,949.33758978452
"Spline Contour",187,31.494012238939,3698.5379090184,940.91859537111
"Spline Contour",188,31.494012238935,3684.2640449438,934.47672552167
"Spline Contour",189,31.494012238935,3651.9582664527,962.56821829856
"Spline Contour",190,31.494012238935,3675.0377207063,958.92696629214
"Spline Contour",191,31.494012238935,3701.0963081862,951.98154093098
"Spline Contour",192,31.494012238935,3666.1380417336,931.59390048154
"Spline Contour",193,31.494012238935,3651.9325842697,920.5264847512
"Spline Contour",194,31.494012238935,3569.5939004815,885.35714285714
"Spline Contour",195,31.494012238935,3564.9598715891,871.6621187801
"Spline Contour",196,31.494012238935,3553.1107544141,850.6621187801
"Spline Contour",197,31.494012238935,3563.3619582665,852.71749598716
"Spline Contour",198,31.494012238935,3544.4309791332,842.48635634029
"Spline Contour",199,31.494012238935,3603.6548956661,844.63643659711
"Spline Contour",200,31.494012238938,3504.9357945425,817.13242375602
"Spline Contour",201,31.494012238939,3333.2592,773.468
"Spline Contour",202,31.494012238939,3243.8568,753.5512
"Spline Contour",203,31.494012238934,3300.2556089744,766.20112179487
"Spline Contour",204,31.494012238934,3235.6145833333,744.00641025641
"Spline Contour",205,31.494012238934,3273.7884615385,746.83573717949
"Spline Contour",206,31.494012238934,3257.3541666667,743.24278846154
"Spline Contour",207,31.494012238934,3345.8357371795,766.45753205128
"Spline Contour",208,31.494012238941,3397.4836653387,766.40398406375
"Spline Contour",209,31.494012238941,3290.3976095618,744.63027888446
"Spline Contour",210,31.494012238941,3323.8007968128,743.63426294821
"Spline Contour",211,31.494012238935,3348.9704236611,737.49000799361
"Spline Contour",212,31.494012238935,3342.8896882494,731.74260591527
"Spline Contour",213,31.494012238935,3324.2138314785,725.48807631161
"Spline Contour",214,31.494012238938,3268.3178913738,733.7731629393
"Spline Contour",215,31.494012238938,3279.6853035144,742.46006389776
"Spline Contour",216,31.494012238938,3387.5990415336,765.64057507987
"Spline Contour",217,31.494012238936,3391.4861878453,773.23835832676
"Spline Contour",218,31.494012238936,3317.407261247,753.73007103394
"Spline Contour",219,31.494012238936,3339.2233622731,752.57695343331
"Spline Contour",220,31.494012238936,3375.1794258373,749.48724082935
"Spline Contour",221,31.494012238936,3294.0637958533,723.13157894737
"Spline Contour",222,31.494012238942,3332.9754940712,731.14387351779
"Spline Contour",223,31.494012238942,3335.6830039526,711.07035573123
"Spline Contour",224,31.494012238941,3405.0810166799,732.01111993646
"Spline Contour",225,31.494012238936,3229.113672496,714.7106518283
"Spline Contour",226,31.494012238936,3259.7355769231,723.16666666667
"Spline Contour",227,31.494012238936,2996.7900641026,653.65865384615
"Spline Contour",228,31.494012238936,3216.3405448718,698.60977564103
"Spline Contour",229,31.494012238937,3250.0968,711.932
"Spline Contour",230,31.494012238937,3222.2176,713.992
"Spline Contour",231,31.494012238936,3276.6924901186,730.99209486166
"Spline Contour",232,31.494012238934,3539.2817014446,776.25040128411
"Spline Contour",233,31.494012238936,3345.7274180656,734.53717026379
"Spline Contour",234,31.49401223894,3274.7147385103,723.27971473851
"Spline Contour",235,31.49401223894,3216.9595879556,738.30269413629
"Spline Contour",236,31.49401223894,3385.4619651347,797.81141045959
"Spline Contour",237,31.49401223894,3542.7579617834,817.84554140127
"Spline Contour",238,31.49401223894,3747.8694267516,850.0724522293
"Spline Contour",239,31.49401223894,3375.2398081535,771.41087130296
"Spline Contour",240,31.494012238933,3401.996812749,780.34422310757
"Spline Contour",241,31.494012238933,3411.6183266932,828.54900398406
"Spline Contour",242,31.494012238933,3436.0015936255,831.02310756972
"Spline Contour",243,31.494012238933,3462.2151394422,836.18804780877
"Spline Contour",244,31.494012238933,3474.5195219124,822.64701195219
"Spline Contour",245,31.494012238937,3526.7270550678,814.60255387071
"Spline Contour",246,31.494012238941,3444.0479233227,790.24041533546
"Spline Contour",247,31.494012238941,3364.5686900959,777.92811501597
"Spline Contour",248,31.49401223894,3568.8412698413,810.55
"Spline Contour",249,31.494012238941,3427.9485530547,779.27813504823
"Spline Contour",250,31.494012238941,3404.7725080386,760.16077170418
"Spline Contour",251,31.49401223894,3454.228,766.58
"Spline Contour",252,31.49401223894,3480.3288,764.604
"Spline Contour",253,31.49401223894,3508.3896,760.364
"Spline Contour",254,31.49401223894,3498.4216,751.6744
"Spline Contour",255,31.494012238938,3521.5203511572,753.24421388667
"Spline Contour",256,31.494012238938,3427.9832402235,721.48284118117
"Spline Contour",257,31.494012238937,3545.9239904988,743.64370546318
"Spline Contour",258,31.494012238937,3542.4837688044,746.94536817102
"Spline Contour",259,31.494012238936,3612.9202551834,755.13636363636
"Spline Contour",260,31.494012238936,3683.8086124402,783.06220095694
"Spline Contour",261,31.49401223894,3742.4302884615,792.18349358974
"Spline Contour",262,31.49401223894,3645.3918918919,784.86089030207
"Spline Contour",263,31.49401223894,3660.1542130366,819.40858505564
"Spline Contour",264,31.49401223894,3645.8521462639,817.76709062003
"Spline Contour",265,31.49401223894,3653.720190779,809.38076311606
"Spline Contour",266,31.49401223894,3591.0953895072,795.60651828299
"Spline Contour",267,31.494012238936,3601.0158730159,786.04444444444
"Spline Contour",268,31.494012238933,3330.8107255521,736.78706624606
"Spline Contour",269,31.494012238943,3370.1151079137,743.07114308553
"Spline Contour",270,31.494012238933,3439.5775100402,770.03694779117
"Spline Contour",271,31.494012238933,3382.6851405623,764.49397590361
"Spline Contour",272,31.494012238937,3470.3762057878,775.65032154341
"Spline Contour",273,31.494012238937,3505.4372990354,773.3384244373
"Spline Contour",274,31.494012238937,3502.2644694534,764.25643086817
"Spline Contour",275,31.49401223894,3502.3328050713,758.88114104596
"Spline Contour",276,31.49401223894,3497.7511885895,747.23375594295
"Spline Contour",277,31.494012238941,3559.2989608313,756.35251798561
"Spline Contour",278,31.494012238941,3520.996802558,749.46762589928
"Spline Contour",279,31.494012238941,3478.8776978417,736.71462829736
"Spline Contour",280,31.494012238935,3530.5242255759,745.30262112788
"Spline Contour",281,31.494012238935,3385.5663224782,700.90627482129
"Spline Contour",282,31.494012238935,3355.4265289913,685.89436060365
"Spline Contour",283,31.494012238941,3534.1847739889,718.89770023791
"Spline Contour",284,31.494012238936,3595.3681672026,733.88745980707
"Spline Contour",285,31.494012238936,3583.5864541833,731.35697211155
"Spline Contour",286,31.49401223894,3596.4903381643,740.67149758454
"Spline Contour",287,31.49401223894,3659.7037037037,754.14170692432
"Spline Contour",288,31.494012238938,3655.8777955272,748.35463258786
"Spline Contour",289,31.49401223894,3526.3457869634,730.56200317965
"Spline Contour",290,31.494012238935,3332.319554849,706.34976152623
"Spline Contour",291,31.494012238939,3344.3834526651,735.01352426412
"Spline Contour",292,31.494012238939,3334.8830548926,741.13206046142
"Spline Contour",293,31.494012238934,3487.0430278885,759.74262948207
"Spline Contour",294,31.494012238936,3618.6023809524,763.3873015873
"Spline Contour",295,31.494012238936,3672.6579365079,758.30952380952
